"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Feb-2023","EQ","717.00","721.35","713.60","716.10","717.00","716.15","716.65","861.15","650.20","1,040,351","745,570,894.65","29,640"
"23-Feb-2023","EQ","722.95","724.95","715.00","721.45","715.50","716.10","717.93","861.15","650.20","1,165,270","836,586,051.85","35,840"
"22-Feb-2023","EQ","726.00","734.00","719.85","726.20","722.90","721.45","724.26","861.15","650.20","1,690,647","1,224,463,547.95","47,937"
"21-Feb-2023","EQ","725.45","730.00","722.05","721.80","726.30","726.20","726.17","861.15","650.20","673,449","489,035,230.75","27,255"
"20-Feb-2023","EQ","726.95","729.45","718.60","726.25","722.00","721.80","720.71","861.15","650.20","1,316,763","948,997,739.60","33,996"
"17-Feb-2023","EQ","731.20","734.80","724.15","732.60","725.00","726.25","729.34","861.15","650.20","624,402","455,401,126.85","19,656"
"16-Feb-2023","EQ","732.20","735.50","728.10","728.10","733.75","732.60","732.11","861.15","650.20","837,121","612,863,391.50","42,932"
"15-Feb-2023","EQ","721.05","729.80","717.20","721.00","729.00","728.10","722.54","861.15","650.20","727,403","525,576,721.60","29,217"
"14-Feb-2023","EQ","718.00","723.75","715.00","717.80","721.05","721.00","720.07","861.15","650.20","563,171","405,520,541.80","32,104"
"13-Feb-2023","EQ","726.60","729.50","716.00","726.60","717.80","717.80","721.39","861.15","650.20","599,763","432,660,060.85","33,943"
"10-Feb-2023","EQ","722.00","728.00","719.15","721.95","726.50","726.60","724.39","861.15","650.20","651,630","472,035,942.50","34,263"
"09-Feb-2023","EQ","724.50","726.35","720.80","724.40","722.00","721.95","722.59","861.15","650.20","688,243","497,319,276.15","33,658"
"08-Feb-2023","EQ","731.85","731.85","721.10","728.20","724.00","724.40","723.30","861.15","650.20","1,521,104","1,100,219,211.90","35,900"
